Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAampSeconds, ISAampSecondsHB, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
17,   3,   3972,   4200,   4012,   3976,   3208,   35,   36,   27,   6974,   1111,   328,   10636,   0,   295
17.1,   4,   3977,   4200,   4012,   3976,   3208,   35,   36,   27,   7071,   1111,   328,   10636,   0,   295
17.2,   5,   3973,   4200,   4012,   3976,   3208,   36,   36,   27,   7047,   1111,   328,   10637,   0,   295
17.3,   6,   3964,   4200,   4012,   3976,   3208,   36,   36,   27,   7025,   1111,   328,   10638,   0,   295
17.4,   7,   3955,   4200,   4012,   3976,   3208,   36,   36,   28,   7013,   1111,   328,   10639,   0,   295
17.5,   7,   3955,   4200,   4012,   3976,   3208,   36,   36,   28,   7051,   1111,   328,   10639,   0,   295
17.6,   8,   3956,   4200,   4012,   3976,   3208,   36,   36,   27,   7006,   1111,   328,   10640,   0,   295
17.7,   9,   3963,   4200,   4012,   3976,   3208,   37,   36,   27,   7010,   1111,   329,   10641,   0,   295
17.8,   10,   3957,   4200,   4012,   3976,   3208,   36,   36,   27,   7029,   1111,   329,   10641,   0,   295
17.9,   11,   3963,   4200,   4012,   3976,   3208,   37,   36,   27,   7016,   1111,   329,   10642,   0,   295
18,   12,   3991,   4200,   4012,   3976,   3208,   36,   36,   27,   7013,   1111,   329,   10643,   0,   295
18.1,   12,   3991,   4200,   4012,   3976,   3208,   36,   36,   27,   7019,   1111,   329,   10644,   0,   295
18.2,   13,   3982,   4200,   4012,   3976,   3208,   37,   36,   28,   7372,   1111,   329,   10644,   0,   295
18.3,   14,   3982,   4200,   4012,   3976,   3208,   36,   36,   28,   7456,   1108,   329,   10645,   0,   295
18.4,   15,   3973,   4200,   4012,   3976,   3208,   36,   36,   27,   7387,   1108,   329,   10646,   0,   295
18.5,   16,   3984,   4200,   4012,   3976,   3208,   37,   36,   27,   7415,   1108,   329,   10646,   0,   295
18.6,   17,   3977,   4200,   4012,   3976,   3208,   37,   36,   27,   7506,   1108,   329,   10647,   0,   295
18.7,   17,   3977,   4200,   4012,   3976,   3208,   37,   36,   27,   7477,   1108,   329,   10648,   0,   295
18.8,   18,   3966,   4200,   4012,   3976,   3208,   36,   36,   27,   7406,   1108,   329,   10648,   0,   295
18.9,   19,   3966,   4200,   4012,   3976,   3207,   37,   36,   27,   7445,   1108,   329,   10649,   0,   295
19,   20,   3961,   4200,   4012,   3976,   3207,   37,   36,   28,   7426,   1108,   329,   10650,   0,   295
19.1,   21,   3964,   4200,   4012,   3976,   3207,   36,   36,   27,   7709,   1108,   329,   10651,   0,   295
19.2,   22,   3965,   4200,   4012,   3976,   3207,   36,   36,   27,   7711,   1108,   329,   10652,   0,   295
19.3,   22,   3965,   4200,   4012,   3976,   3207,   36,   36,   27,   7749,   1108,   329,   10653,   0,   295
19.4,   23,   3960,   4200,   4012,   3976,   3207,   36,   36,   27,   7755,   1108,   329,   10653,   0,   295
19.5,   24,   3958,   4200,   4012,   3976,   3207,   35,   36,   27,   7754,   1108,   329,   10654,   0,   295
19.6,   25,   3959,   4200,   4012,   3976,   3207,   36,   36,   27,   7767,   1108,   329,   10655,   0,   295
19.7,   26,   3965,   4200,   4012,   3976,   3207,   36,   36,   27,   7749,   1108,   329,   10655,   0,   295
19.8,   27,   3953,   4200,   4012,   3976,   3207,   36,   36,   27,   7758,   1108,   329,   10656,   0,   295
19.9,   27,   3953,   4200,   4012,   3976,   3208,   36,   36,   27,   7742,   1108,   329,   10657,   0,   296
20,   0,   3960,   4200,   4012,   3976,   3208,   36,   36,   27,   7739,   1108,   329,   10658,   0,   296
20.1,   1,   3969,   4200,   4012,   3976,   3208,   36,   36,   27,   8159,   1108,   329,   10659,   0,   296
20.2,   2,   3974,   4200,   4012,   3976,   3208,   36,   36,   27,   8107,   1108,   329,   10660,   0,   296
20.3,   3,   3969,   4200,   4012,   3976,   3208,   36,   36,   27,   8075,   1108,   329,   10660,   0,   296
20.4,   4,   3972,   4200,   4012,   3976,   3208,   37,   36,   27,   8103,   1108,   329,   10661,   0,   296
20.5,   5,   3969,   4200,   4012,   3976,   3208,   37,   36,   27,   8096,   1108,   329,   10662,   0,   296
20.6,   5,   3969,   4200,   4012,   3976,   3208,   37,   36,   27,   8084,   1108,   329,   10663,   0,   296
20.7,   6,   3960,   4200,   4012,   3976,   3208,   36,   36,   27,   8111,   1108,   329,   10664,   0,   296
20.8,   7,   3951,   4200,   4012,   3976,   3208,   36,   36,   27,   8075,   1108,   329,   10665,   0,   296
20.9,   8,   3952,   4200,   4012,   3976,   3207,   36,   36,   27,   8096,   1108,   329,   10665,   0,   296
21,   8,   3952,   4200,   4012,   3976,   3207,   36,   36,   27,   8086,   1108,   329,   10666,   0,   296
21.1,   9,   3959,   4200,   4012,   3976,   3207,   36,   36,   27,   8387,   1108,   329,   10667,   0,   296
21.2,   10,   3953,   4200,   4012,   3976,   3207,   36,   36,   27,   8371,   1108,   329,   10667,   0,   296
21.3,   11,   3959,   4200,   4012,   3976,   3207,   35,   36,   27,   8407,   1108,   329,   10668,   0,   296
21.4,   12,   3986,   4200,   4012,   3976,   3207,   36,   36,   27,   8392,   1108,   329,   10669,   0,   296
21.5,   13,   3977,   4200,   4012,   3976,   3207,   37,   36,   27,   8401,   1108,   329,   10670,   0,   296
