Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
23.5,   9,   4065,   4200,   4099,   4089,   3109,   20,   10,   28,   7761,   1139,   111,   99
23.6,   10,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   7782,   1139,   111,   99
23.7,   10,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   7786,   1139,   111,   99
23.8,   11,   4069,   4200,   4099,   4089,   3109,   20,   10,   28,   7773,   1139,   111,   99
23.9,   12,   4070,   4200,   4099,   4089,   3109,   20,   10,   28,   7796,   1139,   111,   99
24,   13,   4071,   4200,   4099,   4089,   3109,   20,   10,   28,   7830,   1139,   111,   99
24.1,   14,   4072,   4200,   4099,   4089,   3109,   20,   10,   28,   8067,   1139,   111,   99
24.2,   15,   4071,   4200,   4099,   4089,   3109,   20,   10,   28,   8066,   1139,   111,   99
24.3,   16,   4073,   4200,   4099,   4089,   3109,   21,   10,   27,   8057,   1139,   111,   99
24.4,   16,   4073,   4200,   4099,   4089,   3109,   21,   10,   27,   8058,   1139,   111,   99
24.5,   17,   4075,   4200,   4099,   4089,   3109,   20,   10,   27,   8091,   1139,   111,   99
24.6,   18,   4068,   4200,   4099,   4089,   3109,   20,   10,   27,   8067,   1139,   111,   99
24.7,   19,   4074,   4200,   4099,   4089,   3109,   21,   10,   27,   8069,   1139,   111,   99
24.8,   20,   4072,   4200,   4099,   4089,   3109,   20,   10,   27,   8073,   1139,   111,   99
24.9,   20,   4072,   4200,   4099,   4089,   3109,   20,   10,   27,   8086,   1139,   111,   99
25,   21,   4066,   4200,   4099,   4089,   3109,   20,   10,   27,   8500,   1139,   112,   99
25.1,   22,   4071,   4200,   4099,   4089,   3109,   20,   10,   27,   8366,   1136,   112,   99
